;H_bio_source;H_ice;P_ice;P_ice_no_bonus;P_ice_no_bonus_ext;P_ice_no_bonus_int;P_ice_no_bonus_node;P_ice_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_demand;Q_ice;Q_in_s-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_s-tes;Q_sol;storage_content_s-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2040-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.834977870487078;3.3734573287669694;2.6024240277082265;2.546146685983135;1.828960639089495;1.7877102869755772;1.001696198805739;16.97537303781622;0.0;47.14;0.0;2.6223629741638383;11.242024570760286;9.889102743008234;7.628861456589574;7.463887555874418;5.361496503495097;5.240573387983539;2.93641675642343;0.0;0.0;53941.38475319355;49.762362974134575;16.97537303781622;0.0;0.0
2040-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.811124975944045;3.3524750116256494;2.5862374034341;2.530310096974569;1.8175848224040079;1.7765910402970264;0.9954658228815003;16.8697891735609;0.0;45.44;0.0;4.5418201540912975;11.291603064656524;9.93271471137723;7.662505526550481;7.496804073829163;5.385141258939289;5.263684859951377;2.949366658758086;2.914291030720051e-11;0.0;53943.22950410996;49.98182015406215;16.869789173560896;0.0;0.0
2040-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.811124975944045;3.352475011625646;2.5862374034340974;2.5303100969745698;1.8175848224040057;1.776591040297028;0.9954658228814998;16.869789173560893;0.0;46.17;0.0;3.811820154069551;11.291603064656524;9.932714711377217;7.662505526550474;7.496804073829167;5.3851412589392815;5.263684859951382;2.949366658758084;0.0;0.0;53944.344162788824;49.981820154062135;16.869789173560893;0.0;0.0
2040-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.811124975829173;3.3524750115683126;2.5862374033192284;2.5303100968443974;1.8175848222738362;1.776591040297028;0.9954658227513288;16.869789172883305;0.0;46.04;0.0;3.9418201534844854;11.29160306427085;9.932714711184726;7.662505526164809;7.496804073443491;5.385141258553617;5.263684859951382;2.949366658372414;0.0;0.0;53945.588765734174;49.981820151941285;16.869789172883305;0.0;0.0
2040-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8349778704290802;3.37345732870897;2.602424027708228;2.546146685983135;1.828960639089495;1.7877102869755772;1.001696198805739;16.975373037700223;0.0;47.22;0.0;2.5423629737496025;11.2420245705678;9.88910274281574;7.628861456589577;7.463887555874418;5.361496503495097;5.240573387983539;2.93641675642343;0.0;0.0;53945.43384926963;49.7623629737496;16.975373037700223;0.0;0.0
2040-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8349778704870783;3.3734573287669694;2.6024240277082304;2.5461466859831345;1.828960639089495;1.7877102869755759;1.001696198805739;16.975373037816226;0.0;50.33;0.0;0.0;11.242024570760288;9.889102743008234;7.628861456589586;7.463887555874416;5.361496503495097;5.240573387983535;2.93641675642343;0.5676370250846767;0.0;53942.168940554584;49.76236297413459;16.975373037816226;0.0;0.0
2040-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.834977870483931;3.3734573287669694;2.6024240277082304;2.546146685925146;1.8289606390315027;1.7877102869755772;1.001696198805739;16.975373037697096;0.0;53.41;0.0;0.0;11.242024570749843;9.889102743008234;7.628861456589586;7.46388755568196;5.361496503302628;5.240573387983538;2.93641675642343;3.6476370262607816;0.0;53935.824195081295;49.762362973739215;16.975373037697096;0.0;0.0
2040-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8615946631856866;3.3968709226408516;2.6204862390507424;2.5638183026025096;1.8416546018549842;1.800117950227575;1.0086485049287959;17.093191184491143;0.0;55.92999999999999;0.0;0.0;11.199440566319874;9.851643512005367;7.599963861787241;7.435614870880691;5.341187529037776;5.220722461653414;2.9252938147478407;6.356133383567794;0.0;53926.771270487974;49.573866616432205;17.093191184491143;0.0;0.0
2040-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8615946628333586;3.396870922640854;2.62048623869704;2.563818302137123;1.8416546014425768;1.8001179498201128;1.0086485044626288;17.093191182033692;0.0;57.82;0.0;0.0;11.19944056516484;9.851643512005376;7.599963860627705;7.435614869531266;5.3411875276857845;5.2207224604938824;2.9252938133958573;8.246133384142013;0.0;53915.82879854031;49.57386660890471;17.093191182033692;0.0;0.0
2040-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.861594663245763;3.3968709226995566;2.6204862391094474;2.5638183026032912;1.841654601854982;1.80011795028628;1.0086485049287954;17.093191184728116;0.0;59.809999999999995;0.0;0.0;11.199440566516822;9.85164351219782;7.599963861979694;7.435614870883253;5.341187529037769;5.220722461845866;2.925293814747839;10.236133382790928;0.0;53902.8968737176;49.573866617209056;17.093191184728116;0.0;0.0
