;H_bio_source;H_ice;P_ice;P_ice_no_bonus;P_ice_no_bonus_ext;P_ice_no_bonus_int;P_ice_no_bonus_node;P_ice_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_demand;Q_ice;Q_in_s-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_s-tes;Q_sol;storage_content_s-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2040-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.608789046745267;7.349988186731017;5.6257132763647695;5.375382324624552;4.66093249777499;2.0654277730696453;0.834153429057398;34.52038653436764;0.0;47.14;0.0;42.94726239408184;22.486597296677903;19.198545067479188;14.694650811546623;14.040773562132019;12.174594073029393;5.313250162773128;2.178851420443585;0.0;0.0;62958.59340477525;90.08726239408183;34.52038653436764;0.0;0.0
2040-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.512640204860308;7.267898493490188;5.56288146420603;5.3153463796855895;4.608876016970124;2.333223332681931;0.8248370332761308;34.4257029251703;0.0;45.44;0.0;45.46287387363988;22.478072867709027;19.191267104007245;14.689080226303654;14.035450854773524;12.16997881439194;6.16099856525347;2.178025441199774;0.0;0.0;63000.90834897872;90.90287387363863;34.425702925170306;0.0;0.0
2040-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.512640204860308;7.267898493490188;5.56288146420603;5.3153463796855895;4.608876016970134;2.33322333268194;0.8248370332759657;34.42570292517016;0.0;46.17;0.0;44.7328738736382;22.478072867709027;19.191267104007245;14.689080226303654;14.035450854773524;12.16997881439197;6.160998565253496;2.1780254411992908;0.0;0.0;63042.4911774349;90.9028738736382;34.42570292517016;0.0;0.0
2040-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.512640204860308;7.267898493490188;5.56288146420603;5.3153463796855895;4.608876016970124;2.333223332681931;0.8248370332761308;34.4257029251703;0.0;46.04;0.0;44.862873873639856;22.478072867709027;19.191267104007245;14.689080226303654;14.035450854773524;12.16997881439194;6.16099856525347;2.178025441199774;0.0;0.0;63084.201926749665;90.90287387363863;34.425702925170306;0.0;0.0
2040-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.608789046745267;7.349988186731017;5.6257132763647695;5.375382324624551;4.66093249777499;2.3595766984882593;0.8341534290810477;34.8145354598099;0.0;47.22;0.0;43.717347251249876;22.486597296677903;19.198545067479188;14.694650811546623;14.040773562132015;12.174594073029393;6.163335019759866;2.1788514205119323;0.0;0.0;63124.765063904706;90.93734725113693;34.8145354598099;0.0;0.0
2040-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.608789046745276;7.349988186731025;5.6257132763647775;5.375382324624562;4.660932497775001;2.3595766984882682;0.8341534290810362;34.814535459809946;0.0;50.33;0.0;40.60734725113704;22.486597296677928;19.198545067479213;14.694650811546646;14.040773562132046;12.174594073029422;6.1633350197598915;2.178851420511899;0.0;0.0;63162.21617290264;90.93734725113706;34.814535459809946;0.0;0.0
2040-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.608789046745267;7.349988186731017;5.6257132763647695;5.375382324624562;4.66093249777499;2.3595766984882593;0.8341534290810477;34.81453545980991;0.0;53.41;0.0;37.52734725113696;22.486597296677903;19.198545067479188;14.694650811546623;14.040773562132047;12.174594073029393;6.163335019759866;2.1788514205119323;0.0;0.0;63196.585409345134;90.93734725113696;34.81453545980991;0.0;0.0
2040-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7068154033176;7.433680859287249;5.689772015939902;5.436590601608116;4.714005494279557;2.3864446709231535;0.843651747721582;35.21096079307716;0.0;55.92999999999999;0.0;35.04277075301026;22.49535666832818;19.206023619666162;14.7003749282741;14.046242969186602;12.1793365332945;6.165735869534109;2.1797001647265937;0.0;0.0;63228.46835082775;90.97277075301025;35.210960793077156;0.0;0.0
2040-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7068154033176;7.433680859287249;5.6897720159398935;5.436590601608116;4.714005494279557;2.3864446709231535;0.8436517477215824;35.210960793077156;0.0;57.82;0.0;33.15277075301147;22.49535666832818;19.206023619666162;14.700374928274075;14.046242969186602;12.1793365332945;6.165735869534109;2.1797001647265946;0.0;0.0;63258.45969816322;90.97277075301022;35.21096079307715;0.0;0.0
2040-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7068154033176;7.433680859287249;5.6897720159398935;5.436590601608116;4.714005494279568;2.386444670923153;0.8436517477215931;35.21096079307718;0.0;59.809999999999995;0.0;31.16277075301029;22.49535666832818;19.206023619666162;14.700374928274075;14.046242969186602;12.17933653329453;6.1657358695341085;2.179700164726625;0.0;0.0;63286.45954593133;90.97277075301028;35.21096079307718;0.0;0.0
