;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;storage_content_st-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2019-01-01 00:00:00;0.0;166.2;166.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.89;0.0;0.0;0.0;33.43944;33.43944
2019-01-01 01:00:00;0.0;165.22105263157894;165.22105263157894;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.96;0.0;0.0;0.0;33.24247578947368;33.24247578947368
2019-01-01 02:00:00;0.0;163.05263157894737;163.05263157894737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;154.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;154.9;0.0;0.0;0.0;32.806189473684206;32.806189473684206
2019-01-01 03:00:00;0.0;150.81052631578947;150.81052631578947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;143.27;0.0;0.0;0.0;30.34307789473684;30.34307789473684
2019-01-01 04:00:00;0.0;163.38947368421051;163.38947368421051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;155.22;0.0;0.0;0.0;32.87396210526315;32.87396210526315
2019-01-01 05:00:00;0.0;185.89473684210526;185.89473684210526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;176.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;176.6;0.0;0.0;0.0;37.402021052631575;37.402021052631575
2019-01-01 06:00:00;0.0;213.33684210526312;213.33684210526312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.66999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.66999999999996;0.0;0.0;0.0;42.923372631578935;42.923372631578935
2019-01-01 07:00:00;0.0;216.47368421052633;216.47368421052633;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.65000000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.65000000000003;0.0;0.0;0.0;43.55450526315789;43.55450526315789
2019-01-01 08:00:00;0.0;215.0105263157895;215.0105263157895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.26000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.26000000000002;0.0;0.0;0.0;43.260117894736844;43.260117894736844
2019-01-01 09:00:00;0.0;212.89473684210526;212.89473684210526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;0.0;0.0;42.834421052631576;42.834421052631576
2019-01-01 10:00:00;0.0;212.53684210526313;212.53684210526313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;0.0;0.0;42.76241263157894;42.76241263157894
2019-01-01 11:00:00;0.0;212.47368421052627;212.47368421052627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;0.0;0.0;42.749705263157885;42.749705263157885
2019-01-01 12:00:00;0.0;212.08421052631576;212.08421052631576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.48;0.0;0.0;0.0;42.671343157894725;42.671343157894725
2019-01-01 13:00:00;0.0;219.35789473684207;219.35789473684207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;208.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;208.39;0.0;0.0;0.0;44.134808421052625;44.134808421052625
2019-01-01 14:00:00;0.0;221.95789473684212;221.95789473684212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.86;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.86;0.0;0.0;0.0;44.65792842105263;44.65792842105263
2019-01-01 15:00:00;0.0;247.25263157894733;247.25263157894733;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.89;0.0;0.0;0.0;49.7472294736842;49.7472294736842
2019-01-01 16:00:00;0.0;259.5157894736842;259.5157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;246.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;246.54;0.0;0.0;0.0;52.21457684210526;52.21457684210526
2019-01-01 17:00:00;0.0;250.4842105263158;250.4842105263158;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;237.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;237.96;0.0;0.0;0.0;50.397423157894735;50.397423157894735
2019-01-01 18:00:00;0.0;231.1684210526316;231.1684210526316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.61000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.61000000000004;0.0;0.0;0.0;46.51108631578948;46.51108631578948
2019-01-01 19:00:00;0.0;222.08421052631576;222.08421052631576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.98;0.0;0.0;0.0;44.683343157894726;44.683343157894726
2019-01-01 20:00:00;0.0;221.15789473684208;221.15789473684208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.1;0.0;0.0;0.0;44.49696842105262;44.49696842105262
2019-01-01 21:00:00;0.0;216.51578947368418;216.51578947368418;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.68999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.68999999999997;0.0;0.0;0.0;43.56297684210526;43.56297684210526
2019-01-01 22:00:00;0.0;194.4;194.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;184.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;184.68;0.0;0.0;0.0;39.113279999999996;39.113279999999996
2019-01-01 23:00:00;0.0;190.7368421052631;190.7368421052631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.19999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.19999999999996;0.0;0.0;0.0;38.376252631578936;38.376252631578936
2019-01-02 00:00:00;0.0;202.16842105263157;202.16842105263157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.06;0.0;0.0;0.0;40.67628631578947;40.67628631578947
2019-01-02 01:00:00;0.0;205.61052631578946;205.61052631578946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.32999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.32999999999998;0.0;0.0;0.0;41.368837894736835;41.368837894736835
2019-01-02 02:00:00;0.0;214.61052631578946;214.61052631578946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.88;0.0;0.0;0.0;43.179637894736835;43.179637894736835
2019-01-02 03:00:00;0.0;214.1578947368421;214.1578947368421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.45000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.45000000000002;0.0;0.0;0.0;43.08856842105263;43.08856842105263
2019-01-02 04:00:00;0.0;215.8315789473684;215.8315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;205.04;0.0;0.0;0.0;43.42531368421052;43.42531368421052
2019-01-02 05:00:00;0.0;224.26315789473685;224.26315789473685;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;213.05;0.0;0.0;0.0;45.121747368421055;45.121747368421055
2019-01-02 06:00:00;0.0;231.44210526315788;231.44210526315788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;219.87;0.0;0.0;0.0;46.56615157894736;46.56615157894736
2019-01-02 07:00:00;855.9394380416901;0.0;855.9394380416901;430.7193946994778;430.7193946994778;430.7193946994778;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;430.7193946994778;234.99000000000004;234.99000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.675199815579546;-92.67929461922623
2019-01-02 08:00:00;1066.9439046392336;0.0;1066.9439046392336;536.1764106068903;536.1764106068903;536.1764106068903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;536.1764106068903;292.91922219262835;256.44;36.479222192628356;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.479222192628356;0.0;0.0;63.91079658207644;-123.59122768408506
2019-01-02 09:00:00;1066.9440568267307;0.0;1066.9440568267307;535.4533175002806;316.1366683675904;316.1366683675904;0.0;219.3166491326902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;535.4533175002806;292.9192221927689;263.88;29.039222192768932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.51662042428765;0.0;0.0;56.52040085853406;-131.78222046281022
2019-01-02 10:00:00;1066.9440568267307;0.0;1066.9440568267307;535.4533175002806;535.4533175002806;535.4533175002806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;535.4533175002806;292.9192221927689;253.68;39.23922219276892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.75256678603536;0.0;0.0;58.245549523162396;-135.76110606258348
2019-01-02 11:00:00;1066.9439046392336;0.0;1066.9439046392336;536.1764106068903;316.85976147420007;316.85976147420007;0.0;219.3166491326902;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;536.1764106068903;292.91922219262835;230.03;62.88922219262835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;167.6365513503244;0.0;0.0;61.96042754349696;-135.84820005585502
