;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;storage_content_st-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2040-01-01 00:00:00;935.1460972329346;0.0;935.1460972329346;477.1632628311677;477.1632628311677;477.1632628311677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.1632628311677;256.7343185507162;157.89;98.8443185507162;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.8443185507162;0.0;0.0;119.5620546412876;-277.98607574034656
2040-01-01 01:00:00;935.1460972329346;0.0;935.1460972329346;477.1632628311677;477.1632628311677;477.1632628311677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.1632628311677;256.7343185507162;156.96;99.77431855071617;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;198.61369488550483;0.0;0.0;137.57490450888787;-258.9505825095382
2040-01-01 02:00:00;935.1458995569735;0.0;935.1458995569735;477.8328861017711;477.8328861017711;477.8328861017711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.8328861017711;256.7343185507119;154.9;101.83431855071191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.4380827514725;0.0;0.0;139.27574449100743;-259.57805928649685
2040-01-01 03:00:00;935.1451599098181;0.0;935.1451599098181;479.8526143135723;479.8526143135723;479.8526143135723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.8526143135723;256.7343185507076;143.27;113.46431855070759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;413.8873793980425;0.0;0.0;141.21087708904707;-261.4706934379617
2040-01-01 04:00:00;935.145425889222;0.0;935.145425889222;479.17978092624475;479.17978092624475;479.17978092624475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.17978092624475;256.7343185507079;155.22;101.51431855070788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;515.3810035797806;0.0;0.0;141.7599112303689;-260.8401950389797
2040-01-01 05:00:00;935.1456626266722;0.0;935.1456626266722;478.50650747646085;478.50650747646085;478.50650747646085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.50650747646085;256.7343185507097;176.6;80.13431855070971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;595.4895530803113;0.0;0.0;169.67384869394664;-260.20929018495747
2040-01-01 06:00:00;935.1462977340587;0.0;935.1462977340587;476.492122552111;476.492122552111;476.492122552111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;476.492122552111;256.7343185507227;202.66999999999996;54.06431855072276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;649.5240971533801;0.0;0.0;164.54503266024494;-258.3216837272356
2040-01-01 07:00:00;935.1465029651828;0.0;935.1465029651828;475.8199754406481;475.8199754406481;475.8199754406481;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.8199754406481;256.7343185507278;205.65000000000003;51.084318550727744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;700.5759394992502;0.0;0.0;173.5107645402668;-257.6918405912933
2040-01-01 08:00:00;935.1467088716781;0.0;935.1467088716781;475.1471986018063;475.1471986018063;475.1471986018063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.1471986018063;256.7343185507322;204.26000000000002;52.47431855073219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0152292530074;0.0;0.0;188.15151782498162;188.15151782498162
2040-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;550.7275784915448;0.0;0.0;0.0;0.0
2040-01-01 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;348.7900421126203;0.0;0.0;0.0;0.0
2040-01-01 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;146.92260261051473;0.0;0.0;0.0;0.0
2040-01-01 12:00:00;0.0;57.43657212591134;57.43657212591134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;146.91525648038422;54.564743519615774;0.0;0.0;0.0;11.556238311733361;11.556238311733361
2040-01-01 13:00:00;935.1467088716781;0.0;935.1467088716781;475.1471986018063;475.1471986018063;475.1471986018063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.1471986018063;256.7343185507322;208.39;48.344318550732226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.344318550732226;0.0;0.0;188.15151782498162;188.15151782498162
2040-01-01 14:00:00;935.1469150057184;0.0;935.1469150057184;474.4734971218193;474.4734971218193;474.4734971218193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;474.4734971218193;256.73431855073653;210.86;45.87431855073652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.21621988554121;0.0;0.0;139.97617753853174;-256.430107503994
2040-01-01 15:00:00;935.1473447046708;0.0;935.1473447046708;473.12031796815023;473.12031796815023;473.12031796815023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.12031796815023;256.73431855076836;234.89;21.844318550768378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.0558276253153;0.0;0.0;87.17473518583581;-295.64514885229056
2040-01-01 16:00:00;935.1478162302905;0.0;935.1478162302905;471.76385657432274;471.76385657432274;471.76385657432274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.76385657432274;256.734318550805;246.54;10.194318550805036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;126.24434338473907;0.0;0.0;77.02982292814418;-225.82097766408197
2040-01-01 17:00:00;935.1480151800855;0.0;935.1480151800855;471.0947881080306;471.0947881080306;471.0947881080306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.0947881080306;256.73431855080725;237.96;18.774318550807237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.01234971837707;0.0;0.0;71.57231041105163;-200.51027296839837
2040-01-01 18:00:00;935.1475716224301;0.0;935.1475716224301;472.44090476407143;472.44090476407143;472.44090476407143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;472.44090476407143;256.7343185507993;219.61000000000004;37.124318550799245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;182.1294176516904;0.0;0.0;71.51214404327922;-209.2609265966409
2040-01-01 19:00:00;935.1471208899989;0.0;935.1471208899989;473.7991460044925;473.7991460044925;473.7991460044925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044925;256.73431855074165;210.98;45.75431855074166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.87462973154948;0.0;0.0;72.53393706733539;-231.12046286450942
2040-01-01 20:00:00;935.1473447046708;0.0;935.1473447046708;473.12031796815023;473.12031796815023;473.12031796815023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.12031796815023;256.73431855076836;210.1;46.63431855076837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;274.4975545508313;0.0;0.0;73.40440592102196;-251.40664354935137
2040-01-01 21:00:00;935.1475716224301;0.0;935.1475716224301;472.44090476407143;472.44090476407143;472.44090476407143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;472.44090476407143;256.7343185507993;205.68999999999997;51.04431855079932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;325.52814822390303;0.0;0.0;74.30843977310121;-284.49296885078905
2040-01-01 22:00:00;935.1471208899989;0.0;935.1471208899989;473.7991460044925;473.7991460044925;473.7991460044925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044925;256.73431855074165;184.68;72.05431855074164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397.5661903672335;0.0;0.0;80.5004998015862;-292.5775445200204
2040-01-01 23:00:00;935.1471208899989;0.0;935.1471208899989;473.7991460044925;473.7991460044925;473.7991460044925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044925;256.73431855074165;181.19999999999996;75.53431855074169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.0806306084569;0.0;0.0;128.21792516726862;-255.7981990831421
2040-01-02 00:00:00;935.1478162302905;0.0;935.1478162302905;471.76385657432274;471.76385657432274;471.76385657432274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.76385657432274;256.734318550805;192.06;64.67431855080503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;537.7312951277315;0.0;0.0;128.9152015126564;-253.89099298460616
2040-01-02 01:00:00;935.1480151800855;0.0;935.1480151800855;471.0947881080306;471.0947881080306;471.0947881080306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.0947881080306;256.73431855080725;195.32999999999998;61.40431855080726;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;599.1087271137824;0.0;0.0;128.3850189817082;-253.2640358029919
2040-01-02 02:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;203.88;52.854318555249165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;651.9330902326759;0.0;0.0;128.45939784035414;-251.59067162718551
2040-01-02 03:00:00;935.1425918992003;0.0;935.1425918992003;468.03642724721686;468.03642724721686;468.03642724721686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.03642724721686;256.7343185554293;203.45000000000002;53.28431855542928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;705.1848121335936;0.0;0.0;127.81001460571835;-250.39944284052353
2040-01-02 04:00:00;935.1425918992003;0.0;935.1425918992003;468.03642724721686;468.03642724721686;468.03642724721686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.03642724721686;256.7343185554293;205.04;51.694318555429305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;756.8438714484162;0.0;0.0;110.83032133692315;-267.04818290091004
2040-01-02 05:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;213.05;43.6843185553509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;800.4903478101946;0.0;0.0;95.75221064881462;-278.1942208897369
2040-01-02 06:00:00;935.1420415761011;0.0;935.1420415761011;470.5751320761947;470.5751320761947;470.5751320761947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;470.5751320761947;256.73431855498256;219.87;36.86431855498256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.3146418477867;0.0;0.0;69.1976612579894;-293.0435950507198
2040-01-02 07:00:00;935.1420415761011;0.0;935.1420415761011;470.5751320761947;470.5751320761947;470.5751320761947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;470.5751320761947;256.73431855498256;234.99000000000004;21.744318554982527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;859.0170946706769;0.0;0.0;68.4014138914185;-293.0435950507199
2040-01-02 08:00:00;935.14216733091;0.0;935.14216733091;469.9414547535884;469.9414547535884;469.9414547535884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.9414547535884;256.7343185551259;256.44;0.2943185551259262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;859.2684623710693;0.0;0.0;77.45750865575366;-292.3955928054638
2040-01-02 09:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;263.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.145681444750835;0.0;852.0798175031999;0.0;0.0;100.9849971310851;-284.70165538935566
2040-01-02 10:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;253.68;3.0543185552491536;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;855.091532067574;0.0;0.0;142.12465738316843;-251.59067162718478
2040-01-02 11:00:00;935.14216733091;0.0;935.14216733091;469.9414547535884;469.9414547535884;469.9414547535884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.9414547535884;256.7343185551259;230.03;26.704318555125923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;881.7530960460966;0.0;0.0;156.9607084168602;-252.18453903713308
2040-01-02 12:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;229.25;27.48431855524916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;909.1933269465435;0.0;0.0;150.7158404202326;-251.59067162718478
2040-01-02 13:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;229.82;26.914318555350917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;936.0621858355471;0.0;0.0;134.71910885980498;-253.16461140054346
2040-01-02 14:00:00;935.1429216088272;0.0;935.1429216088272;466.7609019697801;466.7609019697801;466.7609019697801;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;466.7609019697801;256.7343185555032;250.39;6.344318555503207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;942.3597012817586;0.0;0.0;70.78936724974125;-277.62629601903416
2040-01-02 15:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;237.23;19.50431855535092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;961.8169018520454;0.0;0.0;47.385489999647376;-154.02117352780337
2040-01-02 16:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;253.36;3.3743185553508965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;965.1431295623037;0.0;0.0;-2.2285581753555164;-227.32363008048296
2040-01-02 17:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;262.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.395681444649085;0.0;959.6991909611764;0.0;0.0;-17.618598986043622;-243.78258565308582
2040-01-02 18:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;258.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7056814446490876;0.0;957.9455245569793;0.0;0.0;-21.065557353528305;-243.78258565308582
2040-01-02 19:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;257.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7856814446490716;0.0;957.1119458361023;0.0;0.0;-25.411242365711104;-243.78258565308582
2040-01-02 20:00:00;935.1425918992003;0.0;935.1425918992003;468.03642724721686;468.03642724721686;468.03642724721686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.03642724721686;256.7343185554293;262.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.335681444570696;0.0;951.7284087942398;0.0;0.0;0.9749914292586936;-206.62955369037246
2040-01-02 21:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;245.96999999999997;10.76431855524919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;962.4451409290493;0.0;0.0;-16.14363613296382;-225.38874672163385
2040-01-02 22:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;233.60000000000002;23.134318555350887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;985.5313372273538;0.0;0.0;34.36049660040473;-155.76657859198545
2040-01-02 23:00:00;935.1423007183782;0.0;935.1423007183782;469.3076868001311;469.3076868001311;469.3076868001311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001311;256.73431855524916;223.09999999999997;33.634318555249195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1019.1163792157415;0.0;0.0;34.740938459268875;-165.93155152826424
2040-01-03 00:00:00;935.1424421591282;0.0;935.1424421591282;468.67318200265316;468.67318200265316;468.67318200265316;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.67318200265316;256.7343185553509;220.31;36.42431855535091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1055.4897419521317;0.0;0.0;29.686047888881745;-165.85191536189538
