;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_source;P_spotmarket;Q_ccet;Q_demand;Q_in_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_st-tes;Q_plb;storage_content_st-tes;Q_out_hp;P_in_hp;Emissions OM;Emissions DM
2040-01-01 00:00:00;935.1460972329342;0.0;935.1460972329342;477.1632628311675;477.1632628311675;477.1632628311675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.1632628311675;256.73431855071607;157.89;98.84431855071608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.84431855071608;0.0;0.0;119.56205464128755;-277.98607574034656
2040-01-01 01:00:00;935.1460972329342;0.0;935.1460972329342;477.1632628311675;477.1632628311675;477.1632628311675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.1632628311675;256.73431855071607;156.96;99.77431855071606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;198.6136948855046;0.0;0.0;137.57490450888778;-258.95058250953815
2040-01-01 02:00:00;935.1458995569732;0.0;935.1458995569732;477.83288610177095;477.83288610177095;477.83288610177095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.83288610177095;256.7343185507118;154.9;101.8343185507118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.43808275147217;0.0;0.0;139.27574449100737;-259.5780592864968
2040-01-01 03:00:00;935.1451599098176;0.0;935.1451599098176;479.8526143135721;479.8526143135721;479.8526143135721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.8526143135721;256.7343185507075;143.27;113.46431855070747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;413.88737939804207;0.0;0.0;141.21087708904702;-261.4706934379616
2040-01-01 04:00:00;935.1454258892217;0.0;935.1454258892217;479.1797809262445;479.1797809262445;479.1797809262445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.1797809262445;256.73431855070777;155.22;101.51431855070777;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;515.38100357978;0.0;0.0;141.75991123036886;-260.8401950389796
2040-01-01 05:00:00;935.1456626266718;0.0;935.1456626266718;478.5065074764607;478.5065074764607;478.5065074764607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.5065074764607;256.7343185507096;176.6;80.1343185507096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;595.4895530803107;0.0;0.0;169.67384869394655;-260.2092901849574
2040-01-01 06:00:00;935.1462977340583;0.0;935.1462977340583;476.4921225521108;476.4921225521108;476.4921225521108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;476.4921225521108;256.7343185507226;202.66999999999996;54.064318550722646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;649.5240971533793;0.0;0.0;164.54503266024486;-258.3216837272355
2040-01-01 07:00:00;935.1465029651823;0.0;935.1465029651823;475.81997544064785;475.81997544064785;475.81997544064785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.81997544064785;256.73431855072766;205.65000000000003;51.08431855072763;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;700.5759394992493;0.0;0.0;173.5107645402667;-257.69184059129327
2040-01-01 08:00:00;935.1467088716778;0.0;935.1467088716778;475.14719860180605;475.14719860180605;475.14719860180605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.14719860180605;256.7343185507321;204.26000000000002;52.47431855073208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;753.0152292530064;0.0;0.0;188.15151782498157;188.15151782498157
2040-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;202.25;0.0;550.7275784915438;0.0;0.0;0.0;0.0
2040-01-01 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.91;0.0;348.7900421126193;0.0;0.0;0.0;0.0
2040-01-01 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.84999999999997;0.0;146.9226026105137;0.0;0.0;0.0;0.0
2040-01-01 12:00:00;0.0;57.43657212591241;57.43657212591241;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;146.9152564803832;54.5647435196168;0.0;0.0;0.0;11.556238311733576;11.556238311733576
2040-01-01 13:00:00;935.1467088716778;0.0;935.1467088716778;475.14719860180605;475.14719860180605;475.14719860180605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.14719860180605;256.7343185507321;208.39;48.34431855073211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;48.34431855073211;0.0;0.0;188.15151782498157;188.15151782498157
2040-01-01 14:00:00;935.1469150057179;0.0;935.1469150057179;474.4734971218191;474.4734971218191;474.4734971218191;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;474.4734971218191;256.7343185507364;210.86;45.874318550736405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.21621988554098;0.0;0.0;139.9761775385317;-256.43010750399384
2040-01-01 15:00:00;935.1473447046704;0.0;935.1473447046704;473.12031796815;473.12031796815;473.12031796815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.12031796815;256.73431855076825;234.89;21.844318550768264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.05582762531496;0.0;0.0;87.17473518583577;-295.6451488522904
2040-01-01 16:00:00;935.1478162302901;0.0;935.1478162302901;471.7638565743225;471.7638565743225;471.7638565743225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.7638565743225;256.7343185508049;246.54;10.194318550804923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;126.24434338473861;0.0;0.0;77.02982292814416;-225.82097766408182
2040-01-01 17:00:00;935.148015180085;0.0;935.148015180085;471.09478810803046;471.09478810803046;471.09478810803046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.09478810803046;256.73431855080713;237.96;18.774318550807124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.0123497183765;0.0;0.0;71.57231041105159;-200.51027296839828
2040-01-01 18:00:00;935.1475716224296;0.0;935.1475716224296;472.44090476407126;472.44090476407126;472.44090476407126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;472.44090476407126;256.7343185507992;219.61000000000004;37.12431855079913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;182.12941765168972;0.0;0.0;71.51214404327915;-209.26092659664084
2040-01-01 19:00:00;935.1471208899985;0.0;935.1471208899985;473.7991460044923;473.7991460044923;473.7991460044923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044923;256.73431855074153;210.98;45.754318550741544;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.87462973154868;0.0;0.0;72.53393706733539;-231.1204628645093
2040-01-01 20:00:00;935.1473447046704;0.0;935.1473447046704;473.12031796815;473.12031796815;473.12031796815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.12031796815;256.73431855076825;210.1;46.634318550768256;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;274.4975545508304;0.0;0.0;73.40440592102192;-251.40664354935123
2040-01-01 21:00:00;935.1475716224296;0.0;935.1475716224296;472.44090476407126;472.44090476407126;472.44090476407126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;472.44090476407126;256.7343185507992;205.68999999999997;51.044318550799204;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;325.528148223902;0.0;0.0;74.30843977310114;-284.492968850789
2040-01-01 22:00:00;935.1471208899985;0.0;935.1471208899985;473.7991460044923;473.7991460044923;473.7991460044923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044923;256.73431855074153;184.68;72.05431855074153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397.56619036723237;0.0;0.0;80.5004998015862;-292.57754452002024
2040-01-01 23:00:00;935.1471208899985;0.0;935.1471208899985;473.7991460044923;473.7991460044923;473.7991460044923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.7991460044923;256.73431855074153;181.19999999999996;75.53431855074157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;473.08063060845564;0.0;0.0;128.21792516726862;-255.79819908314198
2040-01-02 00:00:00;935.1478162302901;0.0;935.1478162302901;471.7638565743225;471.7638565743225;471.7638565743225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.7638565743225;256.7343185508049;192.06;64.67431855080491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;537.7312951277302;0.0;0.0;128.91520151265635;-253.89099298460602
2040-01-02 01:00:00;935.148015180085;0.0;935.148015180085;471.09478810803046;471.09478810803046;471.09478810803046;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;471.09478810803046;256.73431855080713;195.32999999999998;61.40431855080715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;599.1087271137809;0.0;0.0;128.38501898170813;-253.26403580299183
2040-01-02 02:00:00;935.1423007183778;0.0;935.1423007183778;469.3076868001309;469.3076868001309;469.3076868001309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.3076868001309;256.73431855524905;203.88;52.85431855524905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;651.9330902326743;0.0;0.0;128.4593978403541;-251.5906716271855
2040-01-02 03:00:00;935.1425918991999;0.0;935.1425918991999;468.0364272472167;468.0364272472167;468.0364272472167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.0364272472167;256.7343185554292;203.45000000000002;53.28431855542917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;705.1848121335919;0.0;0.0;127.81001460571832;-250.39944284052342
2040-01-02 04:00:00;935.1425918991999;0.0;935.1425918991999;468.0364272472167;468.0364272472167;468.0364272472167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.0364272472167;256.7343185554292;205.04;51.69431855542919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;756.8438714484143;0.0;0.0;110.83032133692312;-267.0481829009099
2040-01-02 05:00:00;935.1424421591278;0.0;935.1424421591278;468.673182002653;468.673182002653;468.673182002653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;468.673182002653;256.7343185553508;213.05;43.684318555350785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;800.4903478101928;0.0;0.0;95.75221064881457;-278.1942208897368
2040-01-02 06:00:00;935.1420415761006;0.0;935.1420415761006;470.57513207619445;470.57513207619445;470.57513207619445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;470.57513207619445;256.73431855498245;219.87;36.86431855498245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;837.3146418477847;0.0;0.0;69.19766125798937;-293.04359505071966
2040-01-02 07:00:00;935.1420415761006;0.0;935.1420415761006;470.57513207619445;470.57513207619445;470.57513207619445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;470.57513207619445;256.73431855498245;234.99000000000004;21.744318554982414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;859.0170946706749;0.0;0.0;68.40141389141847;-293.0435950507198
2040-01-02 08:00:00;935.1421673309096;0.0;935.1421673309096;469.9414547535882;469.9414547535882;469.9414547535882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;469.9414547535882;256.7343185551258;256.44;0.2943185551258125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;859.2684623710672;0.0;0.0;77.45750865575366;-292.3955928054636
