;LCOH;Total Emissions DM;Total Emissions OM;allowed_bew_invest_bonus;balance_total;ccet_chp_bonus_real;cost_el;cost_el_grid;cost_el_internal;cost_gas;cost_total;gap;invest_total;net present value;objective;op_cost_total;revenues_chpbonus;revenues_heat;revenues_hp_bew_op_bonus;revenues_spotmarket;revenues_total;total_bew_invest_bonus;total_heat_demand
1.0;34.420691215548096;-5.687240346982548e+19;4436.321243925591;0.0;83999916.78421164;34.04901049638144;0.0;0.0;0.0;219800721.568259;243596827.74540788;0.0362219836389852;428241287.787598;618583343.933102;-79070298.91317365;23796106.177148886;0.0;90009090.63129418;0.0;237587653.89832532;327596744.5296195;0.0;1172909.70330068
1.01;35.78147995674181;-5.689864591913969e+19;5011.562099180886;0.0;82454214.071006;34.0489863670369;0.0;0.0;0.0;221250347.92296422;245066122.67332232;0.06838604716983607;428869129.0280987;598692630.3535979;-77536229.18986815;23815774.750358097;0.0;90009090.63129418;0.0;237511246.11303413;327520336.7443283;0.0;1172909.70330068
1.02;36.9579406710245;-5.683242025972995e+19;5791.180155956448;0.0;80979283.74859813;34.04904730578162;0.0;0.0;0.0;222795939.79746914;246573267.60674998;0.0455988851252183;427684619.1761448;581496248.2871146;-76044957.04950301;23777327.809280843;0.0;90009090.63129418;0.0;237543460.72405392;327552551.3553481;0.0;1172909.70330068
1.03;38.313958402802776;-5.674741288951381e+19;5291.620737925368;0.0;79456201.1663878;34.04904730578162;0.0;0.0;0.0;224332702.54367095;248137675.47240156;0.027944325342604853;428524619.1761448;561675272.7785506;-74549172.55313869;23804972.9287306;0.0;90009090.63129418;0.0;237584786.0074952;327593876.63878936;0.0;1172909.70330068
1.04;39.652437419791504;-5.688309030681873e+19;4645.420479874443;0.0;77942560.97100532;34.04900066720561;0.0;0.0;0.0;225851421.11108306;249679606.19273162;0.0260083290726134;429225927.9608954;542110661.4960202;-73041375.9158064;23828185.081648566;0.0;90009090.63129418;0.0;237613076.53244278;327622167.16373694;0.0;1172909.70330068
1.05;40.7254164580651;-5.721109183346649e+19;5675.185482752568;0.0;76490455.91109514;34.04908588033055;0.0;0.0;0.0;227377289.17394832;251126655.83015734;0.01247641946736698;426813274.76439804;526426875.99645025;-71541823.9253159;23749366.65620901;0.0;90009090.63129418;0.0;237608021.10995832;327617111.7412525;0.0;1172909.70330068
1.06;42.204804899863824;-5.681337612721167e+19;5635.993077012154;0.0;74904559.3197394;34.04906485766476;0.0;0.0;0.0;228833982.23031998;252643362.0534112;0.04623803893264303;428673788.89047027;504802584.96738565;-70008743.71700372;23809379.823091213;0.0;90009090.63129418;0.0;237538830.74185643;327547921.3731506;0.0;1172909.70330068
1.07;43.04357331567991;-5.704754213889791e+19;6059.384306901724;0.0;73553853.7528893;34.04910825401106;0.0;0.0;0.0;230402351.10446918;254063481.42246136;0.00922902685382725;424101329.7267927;492542267.2461376;-68525183.9261394;23661130.31799217;0.0;90009090.63129418;0.0;237608244.54405648;327617335.17535067;0.0;1172909.70330068
1.08;44.64878493864257;-5.724000874890916e+19;5159.082934875412;0.0;71948769.65409836;34.04902669327402;0.0;0.0;0.0;231886268.20277372;255660149.90653816;0.028244658773797313;427561888.5067967;469078812.80953467;-67002959.06940552;23773881.703764435;0.0;90009090.63129418;0.0;237599828.92934233;327608919.5606365;0.0;1172909.70330068
1.09;45.91521627604467;-5.698654263437958e+19;5569.97087693484;0.0;70431218.17706591;34.04910825401106;0.0;0.0;0.0;233411739.7954388;257172186.49497473;0.015683900711460017;427161329.7267927;450567325.877128;-65501997.07325982;23760446.699535947;0.0;90009090.63129418;0.0;237594314.04074645;327603404.67204064;0.0;1172909.70330068
