;H_ccet;H_plb;H_source;P_ccet;P_ccet_no_bonus;P_ccet_no_bonus_ext;P_ccet_no_bonus_int;P_ccet_with_bonus;P_in_hp1;P_in_hp2;P_in_hp3;P_in_hp4;P_in_hp5;P_in_hp6;P_in_hp7;P_in_sub_hp1;P_in_sub_hp2;P_in_sub_hp3;P_in_sub_hp4;P_in_sub_hp5;P_in_sub_hp6;P_in_sub_hp7;P_source;P_spotmarket;P_sub_source;Q_ccet;Q_demand;Q_in_st-tes;Q_in_sub_st-tes;Q_out_hp1;Q_out_hp2;Q_out_hp3;Q_out_hp4;Q_out_hp5;Q_out_hp6;Q_out_hp7;Q_out_prim;Q_out_st-tes;Q_out_sub_hp1;Q_out_sub_hp2;Q_out_sub_hp3;Q_out_sub_hp4;Q_out_sub_hp5;Q_out_sub_hp6;Q_out_sub_hp7;Q_out_sub_st-tes;Q_plb;Q_prim_to_sub;Q_sub_demand;storage_content_st-tes;storage_content_sub_st-tes;Q_out_hp;P_in_hp;Q_out_sub_hp;P_in_sub_hp;Emissions OM;Emissions DM;Sub Emissions OM;Sub Emissions DM
2040-01-01 00:00:00;935.0210930734668;0.0;935.0210930734668;477.0994787948812;477.0994787948812;477.0994787948812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.0994787948812;0.0;256.70000000114203;157.89;72.82041642333287;5.002666862247341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.989583577809174;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.79166686224734;15.789;0.0;5.002666862247341;0.0;0.0;0.0;0.0;119.54607237478517;-277.94891639610677;0.0;0.0
2040-01-01 01:00:00;935.0210930734668;0.0;935.0210930734668;477.0994787948812;477.0994787948812;477.0994787948812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.0994787948812;0.0;256.70000000114203;156.96;80.12000000114202;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.620000000000005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.696000000000005;15.696000000000003;72.82041642333287;5.002416728904228;0.0;0.0;0.0;0.0;137.5565144034777;-258.9159677044227;0.0;0.0
2040-01-01 02:00:00;935.0208954239298;0.0;935.0208954239298;477.76901255466447;477.76901255466447;477.76901255466447;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;477.76901255466447;0.0;256.70000000113777;154.9;82.43750000113775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.3625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.490000000000002;15.490000000000002;152.9367754036537;5.002166608067783;0.0;0.0;0.0;0.0;139.25712702853195;-259.5433606044263;0.0;0.0
2040-01-01 03:00:00;935.0201558756452;0.0;935.0201558756452;479.7884707825259;479.7884707825259;479.7884707825259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.7884707825259;0.0;256.7000000011334;143.27;95.52125000113338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.90875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.327000000000002;14.327000000000002;235.3666285660213;5.001916499737378;0.0;0.0;0.0;0.0;141.19200095081533;-261.43574176104676;0.0;0.0
2040-01-01 04:00:00;935.0204218194949;0.0;935.0204218194949;479.1157273351257;479.1157273351257;479.1157273351257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.1157273351257;0.0;256.7000000011337;155.22;82.07750000113367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.4025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.522;15.522;330.8761102357264;5.001666403912391;0.0;0.0;0.0;0.0;141.74096170087608;-260.80532764293025;0.0;0.0
2040-01-01 05:00:00;935.0206585252995;0.0;935.0206585252995;478.4425438840938;478.4425438840938;478.4425438840938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;478.4425438840938;0.0;256.7000000011355;176.6;58.025000001135496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.66;17.66;412.9370664313483;5.001416320592195;0.0;0.0;0.0;0.0;169.6511678134912;-260.17450712410573;0.0;0.0
2040-01-01 06:00:00;935.0212935477891;0.0;935.0212935477891;476.42842822942816;476.42842822942816;476.42842822942816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;476.42842822942816;0.0;256.7000000011485;202.66999999999996;28.696250001148552;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.33375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.267;20.267;470.9414195791622;5.001166249776165;0.0;0.0;0.0;0.0;164.52303736607308;-258.2871529891592;0.0;0.0
2040-01-01 07:00:00;935.0214987514792;0.0;935.0214987514792;475.75637096615577;475.75637096615577;475.75637096615577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.75637096615577;0.0;256.70000000115357;205.65000000000003;25.343750001153534;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.70625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.565;20.565;499.61412250933176;5.000916191463676;0.0;0.0;0.0;0.0;173.48757076621996;-257.65739404649116;0.0;0.0
2040-01-01 08:00:00;935.0217046304506;0.0;935.0217046304506;475.0836840596824;475.0836840596824;475.0836840596824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.0836840596824;0.0;256.70000000115806;204.26000000000002;26.907500001158038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.532500000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.426000000000002;20.426000000000002;524.9328918043599;5.000666145654102;0.0;0.0;0.0;0.0;188.12636697164666;188.12636697164666;0.0;0.0
2040-01-01 09:00:00;935.0217046304506;0.0;935.0217046304506;475.0836840596824;475.0836840596824;475.0836840596824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;475.0836840596824;0.0;256.70000000115806;202.25;29.16875000115806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.28125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.225;20.225;551.8141451609278;5.0004161123468185;0.0;0.0;0.0;0.0;188.12636697164666;188.12636697164666;0.0;0.0
